lecture_number,lecture_title,section_name,section
24,Correlation,Announcements,"Make a 1-on-1 appointment with a tutor to review Quiz 4 and prepare for Quiz 5.

Sessions are open to everyone on a first-come, first-served basis.
Sign up here. Sessions are open to everyone on a first-come, first-served basis. Sign up here. Discussion is today. Try the problems here. Quiz 5 is Friday.

It covers Lectures 20-23, and related assignments.
Prepare by solving relevant problems on practice.dsc10.com. It covers Lectures 20-23, and related assignments. Prepare by solving relevant problems on practice.dsc10.com. The Final Project is due Tuesday at 11:59PM.

You can use slip days to extend this deadline. Read the syllabus policy to learn what happens if you use more than 6 slip days. You can use slip days to extend this deadline. Read the syllabus policy to learn what happens if you use more than 6 slip days."
24,Correlation,Agenda,Recap: Statistical inference. Association. Correlation. Regression.
24,Correlation,What we've learned about inference,"At a high level, the second half of this class has been about statistical inference – using a sample to draw conclusions about the population. To test whether a sample came from a known population distribution, use ""standard"" hypothesis testing. To test whether two samples came from the same unknown population distribution, use permutation testing. To estimate a population parameter given a single sample, construct a confidence interval using bootstrapping (for most statistics) or the CLT (for the sample mean). To test whether a population parameter is equal to a particular value, $x$, construct a confidence interval using bootstrapping (for most statistics) or the CLT (for the sample mean), and check whether $x$ is in the interval."
24,Correlation,Moving forward,"For the remainder of the quarter, we'll switch our focus to prediction – given a sample, what can I predict about data not in that sample? Specifically, we'll focus on linear regression, a prediction technique that tries to find the best ""linear relationship"" between two numerical variables. Along the way, we'll address another idea – correlation. You will see linear regression in many more courses – it is one of the most important tools in the data science toolkit."
24,Correlation,Prediction,"Suppose we have a dataset with at least two numerical variables. We're interested in predicting one variable based on another:

Given my education level, what is my income?
Given my height, how tall will my kid be as an adult?
Given my age, how many countries have I visited? Given my education level, what is my income? Given my height, how tall will my kid be as an adult? Given my age, how many countries have I visited? To do this effectively, we need to first observe a pattern between the two numerical variables. To see if a pattern exists, we'll need to draw a scatter plot."
24,Correlation,Association,"An association is any relationship or link 🔗 between two variables in a scatter plot. Associations can be linear or non-linear. If two variables have a positive association ↗️, then as one variable increases, the other tends to increase. If two variables have a negative association ↘️, then as one variable increases, the other tends to decrease. If two variables are associated, then we can predict the value of one variable based on the value of the other."
24,Correlation,Example: Hybrid cars 🚗,"Our dataset, taken from here, contains information about several hybrid cars with model years from 1997 through 2013. Input: hybrid = bpd.read_csv('data/hybrid.csv')
hybrid vehicle
year
price
acceleration
mpg
class


0
Prius (1st Gen)
1997
24509.74
7.46
41.26
Compact


1
Tino
2000
35354.97
8.20
54.10
Compact


2
Prius (2nd Gen)
2000
26832.25
7.97
45.23
Compact


...
...
...
...
...
...
...


150
C-Max Energi Plug-in
2013
32950.00
11.76
43.00
Midsize


151
Fusion Energi Plug-in
2013
38700.00
11.76
43.00
Midsize


152
Chevrolet Volt
2013
39145.00
11.11
37.00
Compact vehicle
year
price
acceleration
mpg
class  vehicle year price acceleration mpg class 0
Prius (1st Gen)
1997
24509.74
7.46
41.26
Compact 0 Prius (1st Gen) 1997 24509.74 7.46 41.26 Compact 1
Tino
2000
35354.97
8.20
54.10
Compact 1 Tino 2000 35354.97 8.20 54.10 Compact 2
Prius (2nd Gen)
2000
26832.25
7.97
45.23
Compact 2 Prius (2nd Gen) 2000 26832.25 7.97 45.23 Compact ...
...
...
...
...
...
... ... ... ... ... ... ... ... 150
C-Max Energi Plug-in
2013
32950.00
11.76
43.00
Midsize 150 C-Max Energi Plug-in 2013 32950.00 11.76 43.00 Midsize 151
Fusion Energi Plug-in
2013
38700.00
11.76
43.00
Midsize 151 Fusion Energi Plug-in 2013 38700.00 11.76 43.00 Midsize 152
Chevrolet Volt
2013
39145.00
11.11
37.00
Compact 152 Chevrolet Volt 2013 39145.00 11.11 37.00 Compact 153 rows × 6 columns"
24,Correlation,'price' vs. 'acceleration',"Is there an association between these two variables? If so, what kind? (Note: When looking at a scatter plot, we often describe it in the form ""$y$ vs. $x$."") Input: hybrid.plot(kind='scatter', x='acceleration', y='price'); Acceleration here is measured in kilometers per hour per second – this means that larger accelerations correspond to quicker cars!"
24,Correlation,'price' vs. 'mpg',"Is there an association between these two variables? If so, what kind? Input: hybrid.plot(kind='scatter', x='mpg', y='price'); There is a negative association – cars with better fuel economy tended to be cheaper.

Why do we think that's the case?
Is this always the case today, with the advent of expensive electric cars? Why do we think that's the case? Is this always the case today, with the advent of expensive electric cars? The association looks more curved than linear.

It may roughly follow $y \approx \frac{1}{x}$. It may roughly follow $y \approx \frac{1}{x}$."
24,Correlation,Exploring the data,"Just for fun, we can look at an interactive version of the previous plot. Hover over a point to see the name of the corresponding car. Input: px.scatter(hybrid.to_df(), x='mpg', y='price', hover_name='vehicle') Do you recognize any of the most expensive or most efficient cars? (If not, Google ""ActiveHybrid 7i"", ""Panamera S"", and ""Prius."")"
