lecture_number,lecture_title,section_name,section
24,Correlation,Measuring association,"We're able to look at a scatter plot and tell, roughly, whether there's an association between two variables and whether it's positive or negative. Our first step when analyzing two numerical variables should always be to draw a scatter plot. With that said, we should also have a way of measuring whether there is an association between two numerical variables quantitatively – that is, using math and code."
24,Correlation,Definition: Correlation coefficient,"The correlation coefficient $r$ of two variables $x$ and $y$ measures the strength of the linear association between $x$ and $y$. That is, it measures how clustered points are around a straight line. $r$ is the:

average value of the
product of $x$ and $y$,
when both are measured in standard units. average value of the product of $x$ and $y$, when both are measured in standard units. $r$ is always between -1 and 1. Let's look at some examples, before trying to understand where the formula comes from and learning how to interpret $r$."
24,Correlation,Example values of $r$,"Consider the following few scatter plots. Input: show_scatter_grid() Observation: When $r = 1$, the scatter plot of $x$ and $y$ is a line with a positive slope, and when $r = -1$, the scatter plot of $x$ and $y$ is a line with a negative slope. When $r = 0$, the scatter plot of $x$ and $y$ is a patternless cloud of points. To see more example scatter plots with different values of $r$, play with the widget that appears below. Input: widgets.interact(r_scatter, r=(-1, 1, 0.05)); Output: interactive(children=(FloatSlider(value=0.0, description='r', max=1.0, min=-1.0, step=0.05), Output()), _dom_c… Let's now compute the value of $r$ for the two scatter plots ('price' vs. 'acceleration' and 'price' vs. 'mpg') we saw earlier."
24,Correlation,Calculating $r$,"$r$ is the average value of the product of $x$ and $y$, when both are measured in standard units. Recall: Suppose $x$ is a numerical variable, and $x_i$ is one value of that variable. To convert $x_i$ to standard units, Input: def standard_units(col):
    return (col - col.mean()) / np.std(col) Let's define a function that calculates the correlation, $r$, between two columns in a DataFrame. Input: def calculate_r(df, x, y):
    '''Returns the average value of the product of x and y, 
       when both are measured in standard units.'''
    x_su = standard_units(df.get(x))
    y_su = standard_units(df.get(y))
    return (x_su * y_su).mean()"
24,Correlation,'price' vs. 'acceleration',"Let's calculate $r$ for 'acceleration' and 'price'. Input: hybrid.plot(kind='scatter', x='acceleration', y='price'); Input: calculate_r(hybrid, 'acceleration', 'price') Output: 0.6955778996913978 Observation: $r$ is positive, and the association between 'acceleration' and 'price' is positive."
24,Correlation,'price' vs. 'mpg',"Let's now calculate $r$ for 'mpg' and 'price'. Input: hybrid.plot(kind='scatter', x='mpg', y='price'); Input: calculate_r(hybrid, 'mpg', 'price') Output: -0.5318263633683786 Observation: $r$ is negative, and the association between 'mpg' and 'price' is negative. Also, $r$ here is closer to 0 than it was on the previous slide – that is, the magnitude (absolute value) of $r$ is less than in the previous scatter plot – and the points in this scatter plot look less like a straight line than they did in the previous scatter plot."
24,Correlation,Linear transformations,"To understand the role of standard units in the calculation of $r$, we need to discuss linear transformations. A linear transformation to a variable results from adding, subtracting, multiplying, and/or dividing each value by a constant. For example, the conversion from degrees Celsius to degrees Fahrenheit is a linear transformation:

$$\text{temperature (Fahrenheit)} = \frac{9}{5} \times \text{temperature (Celsius)} + 32$$ $$\text{temperature (Fahrenheit)} = \frac{9}{5} \times \text{temperature (Celsius)} + 32$$ $$\text{temperature (Fahrenheit)} = \frac{9}{5} \times \text{temperature (Celsius)} + 32$$ When you apply a linear transformation to variables in a scatter plot, all you're doing is changing the units they're measured in. This doesn't change the shape of the plot. In other words, instead of plotting price in dollars and fuel economy in miles per gallon, we could plot price in Yen (🇯🇵) and fuel economy in kilometers per gallon and the plot would look the same, just with different axes. Input: hybrid.plot(kind='scatter', x='mpg', y='price', title='price (dollars) vs. mpg'); Input: hybrid.assign(
    price_yen=hybrid.get('price') * 149.99, # The current USD to Japanese Yen exchange rate.
    kpg=hybrid.get('mpg') * 1.6             # 1 mile is 1.6 kilometers.
).plot(kind='scatter', x='kpg', y='price_yen', title='price (yen) vs. kpg');"
24,Correlation,Why does the formula for $r$ involve standard units?,"The conversion of a variable to standard units is a linear transformation. Since changing the units doesn't change the shape of the plot, it also doesn't change the strength of the linear association present in the plot – it doesn't change how much the plot resembles a straight line. This means it shouldn't change the value of $r$. By always converting both $x$ and $y$ to standard units when computing $r$, we're converting all variables to a consistent set of units, to ensure that the interpretation of $r$ doesn't depend on the specific units we happened to use. For instance, the correlation coefficient between price in dollars and fuel economy in miles per gallon is the same as the correlation coefficient between price in Yen and fuel economy in kilometers per gallon. This happens because prices and fuel economies are converted to standard units when computing $r$."
24,Correlation,Scatter plots in standard units,"To better understand why $r$ is the average value of the product of $x$ and $y$, when both are measured in standard units, let's convert the 'acceleration', 'mpg', and 'price' columns to standard units, redraw the same scatter plots we saw earlier, and explore what we can learn from the product of $x$ and $y$ in standard units. Input: def standardize(df):
    """"""Return a DataFrame in which all columns of df are converted to standard units.""""""
    df_su = bpd.DataFrame()
    for column in df.columns:
        # This uses syntax that is out of scope; don't worry about how it works.
        df_su = df_su.assign(**{column + ' (su)': standard_units(df.get(column))})
    return df_su

hybrid_su = standardize(hybrid.get(['acceleration', 'mpg', 'price']))
hybrid_su acceleration (su)
mpg (su)
price (su)


0
-1.54
0.59
-6.94e-01


1
-1.28
1.76
-1.86e-01


2
-1.36
0.95
-5.85e-01


...
...
...
...


150
-0.07
0.75
-2.98e-01


151
-0.07
0.75
-2.90e-02


152
-0.29
0.20
-8.17e-03 acceleration (su)
mpg (su)
price (su)  acceleration (su) mpg (su) price (su) 0
-1.54
0.59
-6.94e-01 0 -1.54 0.59 -6.94e-01 1
-1.28
1.76
-1.86e-01 1 -1.28 1.76 -1.86e-01 2
-1.36
0.95
-5.85e-01 2 -1.36 0.95 -5.85e-01 ...
...
...
... ... ... ... ... 150
-0.07
0.75
-2.98e-01 150 -0.07 0.75 -2.98e-01 151
-0.07
0.75
-2.90e-02 151 -0.07 0.75 -2.90e-02 152
-0.29
0.20
-8.17e-03 152 -0.29 0.20 -8.17e-03 153 rows × 3 columns"
24,Correlation,'price' vs. 'acceleration',"Here, 'acceleration' and 'price' are both measured in standard units. Note that the shape of the scatter plot is the same as before; it's just that the axes are on a different scale. Input: hybrid_su.plot(kind='scatter', x='acceleration (su)', y='price (su)')
plt.axvline(0, color='black')
plt.axhline(0, color='black'); The association between 'acceleration' ($x$) and 'price' ($y$) is positive ↗️. Most data points fall in either the lower left quadrant (where $x_{i \: \text{(su)}}$ and $y_{i \: \text{(su)}}$ are both negative) or the upper right quadrant (where $x_{i \: \text{(su)}}$ and $y_{i \: \text{(su)}}$ are both positive). In other words, $x_{i \: \text{(su)}}$ and $y_{i \: \text{(su)}}$ usually have the same sign. On average, $x_{i \: \text{(su)}} \times y_{i \: \text{(su)}}$ should be positive, since when you multiply two numbers with the same sign, the result is positive. As a result, $r$, which is the average of $x_{i \: \text{(su)}} \times y_{i \: \text{(su)}}$, is positive here: Input: calculate_r(hybrid, 'acceleration', 'price') Output: 0.6955778996913978"
24,Correlation,'price' vs. 'mpg',"Here, 'mpg' and 'price' are both measured in standard units. Again, note that the shape of the scatter plot is the same as before. Input: hybrid_su.plot(kind='scatter', x='mpg (su)', y='price (su)')
plt.axvline(0, color='black');
plt.axhline(0, color='black'); The association between 'mpg' ($x$) and 'price' ($y$) is negative ↘️. Most data points fall in the upper left or lower right quadrants. In other words, $x_{i \: \text{(su)}}$ and $y_{i \: \text{(su)}}$ usually have opposite signs – for most points, one of $x_{i \: \text{(su)}}$ or $y_{i \: \text{(su)}}$ is usually positive, while the other is negative. On average, $x_{i \: \text{(su)}} \times y_{i \: \text{(su)}}$ should be negative, since when you multiply two numbers with opposite signs ($\text{positive number} \times \text{negative number}$) the result is negative. As a result, $r$, which is the average of $x_{i \: \text{(su)}} \times y_{i \: \text{(su)}}$, is negative here: Input: calculate_r(hybrid, 'mpg', 'price') Output: -0.5318263633683786"
24,Correlation,Interpreting $r$,"As mentioned before, the correlation coefficient $r$ of two variables $x$ and $y$ measures the strength of the linear association between $x$ and $y$. That is, it measures how clustered points are around a straight line. Terminology: If two variables are correlated, it means they are linearly associated. $r$ is always between $-1$ and $1$.

If $r = 1$, the scatter plot of $x$ and $y$ is a line with a positive slope.
If $r = -1$, the scatter plot of $x$ and $y$ is a line with a negative slope.
If $r = 0$, there is no linear association between $x$ and $y$ (they are uncorrelated). If $r = 1$, the scatter plot of $x$ and $y$ is a line with a positive slope. If $r = -1$, the scatter plot of $x$ and $y$ is a line with a negative slope. If $r = 0$, there is no linear association between $x$ and $y$ (they are uncorrelated). Input: # Once again, run this cell and play with the slider that appears!
widgets.interact(r_scatter, r=(-1, 1, 0.05)); Output: interactive(children=(FloatSlider(value=0.0, description='r', max=1.0, min=-1.0, step=0.05), Output()), _dom_c… $r$ is computed based on standard units, and is symmetric.

The correlation between price in dollars and fuel economy in miles per gallon is the same as the correlation between price in Yen and fuel economy in kilometers per gallon.
The correlation between price and fuel economy is the same as the correlation between fuel economy and price, because $x \times y = y \times x$. The correlation between price in dollars and fuel economy in miles per gallon is the same as the correlation between price in Yen and fuel economy in kilometers per gallon. The correlation between price and fuel economy is the same as the correlation between fuel economy and price, because $x \times y = y \times x$. $r$ quantifies how well we can predict one variable using the other.

If $r$ is close to $1$ or $-1$ we can predict one variable from the other quite accurately.
If $r$ is close to $0$, we cannot make good predictions. If $r$ is close to $1$ or $-1$ we can predict one variable from the other quite accurately. If $r$ is close to $0$, we cannot make good predictions."
24,Correlation,Concept Check ✅ – Answer at cc.dsc10.com,"Which of the following does the scatter plot below show? A. Association and correlation. B. Association but not correlation. C. Correlation but not association. D. Neither association nor correlation. Input: x2 = bpd.DataFrame().assign(
    x=np.arange(-6, 6.1, 0.5), 
    y=np.arange(-6, 6.1, 0.5) ** 2
)
x2.plot(kind='scatter', x='x', y='y'); B. Association but not correlation. Since there is a pattern in the scatter plot of $x$ and $y$, there is an association between $x$ and $y$. However, correlation refers to linear association, and there is no linear association between $x$ and $y$. The relationship between $x$ and $y$ is actually $y = x^2$. Even though the association between $x$ and $y$ is very strong, the association cannot be described by a linear function because as $x$ increases, $y$ first decreases, and then increases. The correlation ($r$) between $x$ and $y$ is 0 – try to calculate it yourself!"
24,Correlation,Example: Predicting heights  👪 📏,"The data below was collected in the late 1800s by Francis Galton. He was a eugenicist and proponent of scientific racism, which is why he collected this data. Today, we understand that eugenics is immoral, and that there is no scientific evidence or any other justification for racism. Galton is credited with discovering regression using this data. Input: galton = bpd.read_csv('data/galton.csv')
galton family
father
mother
midparentHeight
children
childNum
gender
childHeight


0
1
78.5
67.0
75.43
4
1
male
73.2


1
1
78.5
67.0
75.43
4
2
female
69.2


2
1
78.5
67.0
75.43
4
3
female
69.0


...
...
...
...
...
...
...
...
...


931
203
62.0
66.0
66.64
3
3
female
61.0


932
204
62.5
63.0
65.27
2
1
male
66.5


933
204
62.5
63.0
65.27
2
2
female
57.0 family
father
mother
midparentHeight
children
childNum
gender
childHeight  family father mother midparentHeight children childNum gender childHeight 0
1
78.5
67.0
75.43
4
1
male
73.2 0 1 78.5 67.0 75.43 4 1 male 73.2 1
1
78.5
67.0
75.43
4
2
female
69.2 1 1 78.5 67.0 75.43 4 2 female 69.2 2
1
78.5
67.0
75.43
4
3
female
69.0 2 1 78.5 67.0 75.43 4 3 female 69.0 ...
...
...
...
...
...
...
...
... ... ... ... ... ... ... ... ... ... 931
203
62.0
66.0
66.64
3
3
female
61.0 931 203 62.0 66.0 66.64 3 3 female 61.0 932
204
62.5
63.0
65.27
2
1
male
66.5 932 204 62.5 63.0 65.27 2 1 male 66.5 933
204
62.5
63.0
65.27
2
2
female
57.0 933 204 62.5 63.0 65.27 2 2 female 57.0 934 rows × 8 columns"
24,Correlation,Predicting an adult son's height given his mother's height,"Let's focus on the relationship between mothers' heights and their adult sons' heights. Input: male_children = galton[galton.get('gender') == 'male'].reset_index()
mom_son = bpd.DataFrame().assign(mom=male_children.get('mother'), son=male_children.get('childHeight'))
mom_son mom
son


0
67.0
73.2


1
66.5
73.5


2
66.5
72.5


...
...
...


478
60.0
66.0


479
66.0
64.0


480
63.0
66.5 mom
son  mom son 0
67.0
73.2 0 67.0 73.2 1
66.5
73.5 1 66.5 73.5 2
66.5
72.5 2 66.5 72.5 ...
...
... ... ... ... 478
60.0
66.0 478 60.0 66.0 479
66.0
64.0 479 66.0 64.0 480
63.0
66.5 480 63.0 66.5 481 rows × 2 columns Input: mom_son.plot(kind='scatter', x='mom', y='son'); The scatter plot demonstrates a positive linear association between mothers' heights and their adult sons' heights, so $r$ should be positive. Input: r_mom_son = calculate_r(mom_son, 'mom', 'son')
r_mom_son Output: 0.3230049836849053"
24,Correlation,Many possible ways to make predictions,"We want a simple strategy, or rule, for predicting a son's height. The simplest possible prediction strategy just predicts the same value for every son's height, regardless of his mother's height. Some such predictions are better than others. Note that in the scatter plot below, both 'mom' and 'son' are measured in standard units, not inches. Input: mom_son_su = standardize(mom_son)

def constant_prediction(prediction):
    mom_son_su.plot(kind='scatter', x='mom (su)', y='son (su)', title=f'Predicting a height of {prediction} SUs for all sons', figsize=(10, 5));
    plt.axhline(prediction, color='orange', lw=4);
    plt.xlim(-3, 3)
    plt.show()

prediction = widgets.FloatSlider(value=-3, min=-3,max=3,step=0.5, description='prediction')
ui = widgets.HBox([prediction])
out = widgets.interactive_output(constant_prediction, {'prediction': prediction})
display(ui, out) Output: HBox(children=(FloatSlider(value=-3.0, description='prediction', max=3.0, min=-3.0, step=0.5),)) Which of these predictions is the best?

It depends on what we mean by ""best,"" but a natural choice is the rule that predicts 0 standard units, because this corresponds to the mean height of all sons. It depends on what we mean by ""best,"" but a natural choice is the rule that predicts 0 standard units, because this corresponds to the mean height of all sons. Input: mom_son_su.plot(kind='scatter', x='mom (su)', y='son (su)', title='A good prediction is the mean height of sons (0 SUs)', figsize=(10, 5));
plt.axhline(0, color='orange', lw=4);
plt.xlim(-3, 3);"
24,Correlation,Better predictions,"Since there is a linear association between a son's height and his mother's height, we can make better predictions by allowing our predictions to vary with the mother's height. The simplest way to do this uses a line to make predictions. As before, some lines are better than others. Input: def linear_prediction(slope):
    x = np.linspace(-3, 3)
    y = x * slope
    mom_son_su.plot(kind='scatter', x='mom (su)', y='son (su)', figsize=(10, 5));
    plt.plot(x, y, color='orange', lw=4)
    plt.xlim(-3, 3)
    plt.title(r""Predicting sons' heights using $\mathrm{son}_{\mathrm{(su)}}$ = "" + str(np.round(slope, 2)) + r""$ \cdot \mathrm{mother}_{\mathrm{(su)}}$"")
    plt.show()

slope = widgets.FloatSlider(value=0, min=-1,max=1,step=1/6, description='slope')
ui = widgets.HBox([slope])
out = widgets.interactive_output(linear_prediction, {'slope': slope})
display(ui, out) Output: HBox(children=(FloatSlider(value=0.0, description='slope', max=1.0, min=-1.0, step=0.16666666666666666),)) Which of these lines is the best?

Again, it depends what we mean by ""best,"" but a good choice is the line that goes through the origin and has a slope of $r$.
This line is called the regression line, and we'll see next time that it is the ""best"" line for making predictions in a certain sense. Again, it depends what we mean by ""best,"" but a good choice is the line that goes through the origin and has a slope of $r$. This line is called the regression line, and we'll see next time that it is the ""best"" line for making predictions in a certain sense. Input: x = np.linspace(-3, 3)
y = x * r_mom_son
mom_son_su.plot(kind='scatter', x='mom (su)', y='son (su)', title=r'A good line goes through the origin and has slope $r$', figsize=(10, 5));
plt.plot(x, y, color='orange', label='regression line', lw=4)
plt.xlim(-3, 3)
plt.legend();"
24,Correlation,The regression line,"The regression line is the line through $(0,0)$ with slope $r$, when both variables are measured in standard units. We use the regression line to make predictions!"
24,Correlation,Making predictions in standard units,"If $r = 0.32$, and the given $x$ is $2$ in standard units, then the prediction for $y$ is $0.64$ standard units.

The regression line predicts that a mother whose height is $2$ SDs above average has a son whose height is $0.64$ SDs above average. The regression line predicts that a mother whose height is $2$ SDs above average has a son whose height is $0.64$ SDs above average. If $r = 0.32$, and the given $x$ is $-1$ in standard units, then the prediction for $y$ is $-0.32$ standard units. The regression line always predicts that a son will be somewhat closer to average in height than his mother. This effect is called regression to the mean, and is where the term regression comes from.

This is a consequence of the slope $r$ having a magnitude less than 1.
It is not saying that a son has to be closer to average in height than his mother; that's just what it predicts. This is a consequence of the slope $r$ having a magnitude less than 1. It is not saying that a son has to be closer to average in height than his mother; that's just what it predicts. The regression line passes through the origin $(0, 0)$ in standard units. This means that, no matter what $r$ is, for an average $x$ value, we predict an average $y$ value."
24,Correlation,Summary,"The correlation coefficient, $r$, measures the strength of the linear association between two variables $x$ and $y$. It ranges between -1 and 1. When both variables are measured in standard units, the regression line is the straight line passing through $(0, 0)$ with slope $r$. We can use it to make predictions for a $y$ value (e.g. son's height) given an $x$ value (e.g. mother's height)."
24,Correlation,Next time,"More on regression, including: What is the equation of the regression line in original units (e.g. inches)? In what sense is the regression line the ""best"" line for making predictions?"
